,champion,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,item0,item1,item2,item3,item4,item5,item6,perk0,perk1,perk2,perk3,perk4,perk5,statPerk0,statPerk1,statPerk2,championName
0,164,4,12,False,3,9,8,159069,1055,3074,1029,6632,6333,3047,3340,8437,8401,8473,8242,8304,8345,5005,5008,5002,Camille
1,104,4,11,False,5,7,9,192049,6673,3031,3047,3036,0,0,3364,8021,9111,9104,8017,8304,8321,5005,5008,5001,Graves
2,103,4,12,False,6,6,12,111848,1058,6656,3158,3157,0,4629,3363,8112,8139,8138,8106,8236,8233,5008,5008,5003,Ahri
3,81,4,3,False,9,5,2,181298,3133,3042,6694,3077,3158,6632,3363,8005,8009,9103,8014,8134,8139,5005,5008,5002,Ezreal
4,37,4,7,False,3,4,12,27799,3853,3158,6617,3070,3011,6616,3364,8214,8226,8234,8236,8120,8134,5008,5008,5002,Sona
5,92,4,12,True,15,7,5,171803,6333,6630,3111,6695,3071,3123,3340,8010,9111,9104,8299,8210,8236,5007,5008,5002,Riven
6,120,14,11,True,5,6,14,201137,6632,3066,3158,6695,3053,1031,3364,8010,9111,9105,8014,8275,8234,5008,5008,5002,Hecarim
7,245,4,12,True,6,7,6,210277,3152,2421,3100,3111,4630,3089,3340,8112,8143,8138,8135,8316,8352,5008,5008,5003,Ekko
8,222,7,4,True,3,3,6,234774,3031,0,3006,3095,3094,6672,3363,8021,8009,9103,8014,8345,8304,5005,5008,5002,Jinx
9,117,4,14,True,2,3,8,21083,3011,3158,2065,0,3853,2055,3364,8214,8226,8210,8236,8347,8345,5008,5008,5002,Lulu
10,114,14,12,True,3,3,5,57105,2031,6630,0,3077,3158,1055,3364,8010,8009,9104,8299,8473,8446,5005,5008,5002,Fiora
11,234,4,11,True,12,3,9,85219,3153,3047,6632,1028,1036,0,3364,8010,9111,9105,8014,8304,8347,5005,5008,5002,Viego
12,268,12,4,True,2,4,8,56773,2033,1082,3020,6655,3108,2055,3363,8229,8226,8233,8237,8139,8134,5005,5008,5003,Azir
13,202,7,4,True,9,2,9,66447,3009,6671,0,6676,2015,0,3363,8124,8139,8138,8134,8345,8352,5008,5008,5002,Jhin
14,111,14,4,True,2,4,10,12306,0,3859,3190,0,3047,2424,3364,8439,8401,8473,8242,8313,8347,5005,5002,5002,Nautilus
15,164,12,14,False,3,4,5,25321,2031,1054,3044,3057,3047,3067,3340,8437,8446,8444,8242,9105,8009,5005,5008,5002,Camille
16,68,4,14,False,6,5,4,40570,1054,3020,3152,3191,1052,0,3340,8230,8275,8210,8237,8139,8135,5008,5008,5003,Rumble
17,141,4,11,False,4,3,7,77660,1028,2031,6630,1036,3158,0,3364,8010,9111,9105,8299,8210,8236,5008,5008,5002,Kayn
18,523,7,4,False,1,7,7,42547,1055,2031,6673,3047,0,0,3340,8008,8009,9103,8014,8453,8473,5005,5008,5002,Aphelios
19,497,14,4,False,2,9,8,9056,3854,3158,3067,3801,4642,0,3364,9923,8126,8136,8106,8473,8242,5005,5008,5002,Rakan
20,27,12,4,True,6,3,21,114035,4630,3116,2065,4637,1028,3047,3363,8124,8139,8138,8105,8234,8232,5008,5008,5001,Singed
21,76,11,4,True,11,2,16,178612,3020,3152,3157,1082,3165,1058,3364,8010,9111,9105,8014,8134,8143,5005,5008,5002,Nidalee
22,7,14,4,True,13,1,11,123931,3157,1082,3135,1058,3020,6655,3364,8112,8139,8138,8135,8226,8210,5005,5008,5002,Leblanc
23,523,4,3,True,7,4,17,146542,6673,6676,3006,3031,3086,1042,3363,8008,9101,9103,8017,8139,8135,5005,5008,5002,Aphelios
24,526,14,4,True,2,11,25,29519,3860,3158,3190,2055,3011,3082,3364,8124,8126,8138,8134,8347,8306,5007,5002,5003,Rell
25,104,12,4,False,7,7,5,153517,6692,6694,3111,3155,3071,0,3363,8021,8009,9103,8017,8304,8345,5005,5008,5003,Graves
